"country","year","pop","lifeExp"
"Albania",1982,2780097,70.42
"Albania",1987,3075321,72
"Algeria",1982,20033753,61.368
"Algeria",1987,23254956,65.799
"Argentina",1982,29341374,69.942
"Argentina",1987,31620918,70.774
"Australia",1982,15184200,74.74
"Australia",1987,16257249,76.32
"Austria",1982,7574613,73.18
"Austria",1987,7578903,74.94
"Bahrain",1982,377967,69.052
"Bahrain",1987,454612,70.75
"Belgium",1982,9856303,73.93
"Belgium",1987,9870200,75.35
"Bosnia and Herzegovina",1982,4172693,70.69
"Bosnia and Herzegovina",1987,4338977,71.14
"Botswana",1982,970347,61.484
"Botswana",1987,1151184,63.622
"Brazil",1982,128962939,63.336
"Brazil",1987,142938076,65.205
"Bulgaria",1982,8892098,71.08
"Bulgaria",1987,8971958,71.34
"Canada",1982,25201900,75.76
"Canada",1987,26549700,76.86
"Chile",1982,11487112,70.565
"Chile",1987,12463354,72.492
"China",1982,1000281000,65.525
"China",1987,1084035000,67.274
"Colombia",1982,27764644,66.653
"Colombia",1987,30964245,67.768
"Costa Rica",1982,2424367,73.45
"Costa Rica",1987,2799811,74.752
"Croatia",1982,4413368,70.46
"Croatia",1987,4484310,71.52
"Cuba",1982,9789224,73.717
"Cuba",1987,10239839,74.174
"Czech Republic",1982,10303704,70.96
"Czech Republic",1987,10311597,71.58
"Denmark",1982,5117810,74.63
"Denmark",1987,5127024,74.8
"Dominican Republic",1982,5968349,63.727
"Dominican Republic",1987,6655297,66.046
"Ecuador",1982,8365850,64.342
"Ecuador",1987,9545158,67.231
"El Salvador",1987,4842194,63.154
"Finland",1982,4826933,74.55
"Finland",1987,4931729,74.83
"France",1982,54433565,74.89
"France",1987,55630100,76.34
"Gabon",1987,880397,60.19
"Germany",1982,78335266,73.8
"Germany",1987,77718298,74.847
"Greece",1982,9786480,75.24
"Greece",1987,9974490,76.67
"Guatemala",1987,7326406,60.782
"Honduras",1982,3669448,60.909
"Honduras",1987,4372203,64.492
"Hong Kong China",1982,5264500,75.45
"Hong Kong China",1987,5584510,76.2
"Hungary",1982,10705535,69.39
"Hungary",1987,10612740,69.58
"Iceland",1982,233997,76.99
"Iceland",1987,244676,77.23
"Indonesia",1987,169276000,60.137
"Iran",1987,51889696,63.04
"Iraq",1982,14173318,62.038
"Iraq",1987,16543189,65.044
"Ireland",1982,3480000,73.1
"Ireland",1987,3539900,74.36
"Israel",1982,3858421,74.45
"Israel",1987,4203148,75.6
"Italy",1982,56535636,74.98
"Italy",1987,56729703,76.42
"Jamaica",1982,2298309,71.21
"Jamaica",1987,2326606,71.77
"Japan",1982,118454974,77.11
"Japan",1987,122091325,78.67
"Jordan",1982,2347031,63.739
"Jordan",1987,2820042,65.869
"Korea Dem. Rep.",1982,17647518,69.1
"Korea Dem. Rep.",1987,19067554,70.647
"Korea Rep.",1982,39326000,67.123
"Korea Rep.",1987,41622000,69.81
"Kuwait",1982,1497494,71.309
"Kuwait",1987,1891487,74.174
"Lebanon",1982,3086876,66.983
"Lebanon",1987,3089353,67.926
"Libya",1982,3344074,62.155
"Libya",1987,3799845,66.234
"Malaysia",1982,14441916,68
"Malaysia",1987,16331785,69.5
"Mauritius",1982,992040,66.711
"Mauritius",1987,1042663,68.74
"Mexico",1982,71640904,67.405
"Mexico",1987,80122492,69.498
"Mongolia",1987,2015133,60.222
"Montenegro",1982,562548,74.101
"Montenegro",1987,569473,74.865
"Morocco",1987,22987397,62.677
"Namibia",1987,1278184,60.835
"Netherlands",1982,14310401,76.05
"Netherlands",1987,14665278,76.83
"New Zealand",1982,3210650,73.84
"New Zealand",1987,3317166,74.32
"Nicaragua",1987,3344353,62.008
"Norway",1982,4114787,75.97
"Norway",1987,4186147,75.89
"Oman",1982,1301048,62.728
"Oman",1987,1593882,67.734
"Panama",1982,2036305,70.472
"Panama",1987,2253639,71.523
"Paraguay",1982,3366439,66.874
"Paraguay",1987,3886512,67.378
"Peru",1982,18125129,61.406
"Peru",1987,20195924,64.134
"Philippines",1982,53456774,62.082
"Philippines",1987,60017788,64.151
"Poland",1982,36227381,71.32
"Poland",1987,37740710,70.98
"Portugal",1982,9859650,72.77
"Portugal",1987,9915289,74.06
"Puerto Rico",1982,3279001,73.75
"Puerto Rico",1987,3444468,74.63
"Reunion",1982,517810,69.885
"Reunion",1987,562035,71.913
"Romania",1982,22356726,69.66
"Romania",1987,22686371,69.53
"Sao Tome and Principe",1982,98593,60.351
"Sao Tome and Principe",1987,110812,61.728
"Saudi Arabia",1982,11254672,63.012
"Saudi Arabia",1987,14619745,66.295
"Serbia",1982,9032824,70.162
"Serbia",1987,9230783,71.218
"Singapore",1982,2651869,71.76
"Singapore",1987,2794552,73.56
"Slovak Republic",1982,5048043,70.8
"Slovak Republic",1987,5199318,71.08
"Slovenia",1982,1861252,71.063
"Slovenia",1987,1945870,72.25
"South Africa",1987,35933379,60.834
"Spain",1982,37983310,76.3
"Spain",1987,38880702,76.9
"Sri Lanka",1982,15410151,68.757
"Sri Lanka",1987,16495304,69.011
"Sweden",1982,8325260,76.42
"Sweden",1987,8421403,77.19
"Switzerland",1982,6468126,76.21
"Switzerland",1987,6649942,77.41
"Syria",1982,9410494,64.59
"Syria",1987,11242847,66.974
"Taiwan",1982,18501390,72.16
"Taiwan",1987,19757799,73.4
"Thailand",1982,48827160,64.597
"Thailand",1987,52910342,66.084
"Trinidad and Tobago",1982,1116479,68.832
"Trinidad and Tobago",1987,1191336,69.582
"Tunisia",1982,6734098,64.048
"Tunisia",1987,7724976,66.894
"Turkey",1982,47328791,61.036
"Turkey",1987,52881328,63.108
"United Kingdom",1982,56339704,74.04
"United Kingdom",1987,56981620,75.007
"United States",1982,232187835,74.65
"United States",1987,242803533,75.02
"Uruguay",1982,2953997,70.805
"Uruguay",1987,3045153,71.918
"Venezuela",1982,15620766,68.557
"Venezuela",1987,17910182,70.19
"Vietnam",1987,62826491,62.82
"West Bank and Gaza",1982,1425876,64.406
"West Bank and Gaza",1987,1691210,67.046
"Zimbabwe",1982,7636524,60.363
"Zimbabwe",1987,9216418,62.351
